_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3310761,1,292029,790,QUEEN ST W,STRACHAN AVE,MASSEY ST,,0.0,697.0,TRINITY BELLWOODS PARK,10.0,"Ash, green",47.0,"{'type': 'Point', 'coordinates': (-79.41618733111581, 43.6495364521731)}"
3310762,2,NY21757,110,LOGANBERRY CRES,MISTFLOWER RD,MISTFLOWER RD,,0.0,10.0,,17.0,"Birch, white",25.0,"{'type': 'Point', 'coordinates': (-79.3545349538418, 43.8037189558964)}"
3310763,3,362493,31,FALLINGBROOK CRES,FALLINGBROOK DR,,,0.0,70.0,,20.0,"Maple, Manitoba",24.0,"{'type': 'Point', 'coordinates': (-79.2760802497644, 43.6776251576906)}"
3310764,4,391308,78,BIDEFORD AVE,AVENUE RD S 401 C W RAMP,SANDRINGHAM DR,,0.0,45.0,,6.0,"Elm, American 'Valley Forge'",4.0,"{'type': 'Point', 'coordinates': (-79.4252057780298, 43.7436916067803)}"
3310765,5,NY129248,33,ANEWEN DR,GRETNA AVE,WOODTHORPE RD,,0.0,40.0,,16.0,"Spruce, Colorado blue",25.0,"{'type': 'Point', 'coordinates': (-79.3153757933933, 43.733888921533)}"
3310766,6,ET17422,15,BURRARD RD,BRIGHAM CRT,CHILCOT AVE,,0.0,20.0,,1.0,"Maple, Norway 'Schwedler'",46.0,"{'type': 'Point', 'coordinates': (-79.5517852249759, 43.7132521970695)}"
3310767,7,NY114266,85,OLD COLONY RD,HARRISON RD,,,0.0,180.0,,15.0,"Mulberry, white",10.0,"{'type': 'Point', 'coordinates': (-79.37784831953951, 43.7582445715909)}"
3310768,8,228561,31,CLEARVIEW HTS,TRETHEWEY DR,GREENTREE CRT,,0.0,60.0,,5.0,"Elm, Siberian",57.0,"{'type': 'Point', 'coordinates': (-79.4792948383182, 43.6924692344483)}"
3310769,9,470262,2,SAN ANTONIOWAY,ELNATHAN CRES,,,0.0,120.0,,7.0,Kentucky coffee,5.0,"{'type': 'Point', 'coordinates': (-79.5695018286236, 43.7579181701515)}"
3310770,10,549197,148,WESTMINSTER AVE,SUNNYSIDE AVE,INDIAN RD,,0.0,10.0,,4.0,"Katsura, Japanese",4.0,"{'type': 'Point', 'coordinates': (-79.45258974840542, 43.646809759809)}"
3310771,11,536617,26,DONCLIFFE DR,FOREST GLEN CRES,FOREST GLEN CRES,,0.0,90.0,,15.0,"Elm, American",25.0,"{'type': 'Point', 'coordinates': (-79.4000834768246, 43.73559764660771)}"
3310772,12,TO66167,18,MUNRO PARK AVE,,QUEEN ST E,,0.0,10.0,,19.0,"Maple, Norway",130.0,"{'type': 'Point', 'coordinates': (-79.28312281638772, 43.6717940983563)}"
3310773,13,258809,37,JOSEPH ST,GRATTAN ST,CHURCH ST YORK,,0.0,10.0,,5.0,"Oak, white",4.0,"{'type': 'Point', 'coordinates': (-79.5178284396172, 43.705484262474)}"
3310774,14,542213,80,RABBIT LANE,SEDGEBROOK CRES,BEAVER BEND CRES,,0.0,20.0,,2.0,"Honey locust, 'Skyline'",8.0,"{'type': 'Point', 'coordinates': (-79.5697277859886, 43.6616682848291)}"
3310775,15,259477,538,BATHURST ST,COLLEGE ST TORONTO,ULSTER ST,,0.0,10.0,,11.0,Cherry,15.0,"{'type': 'Point', 'coordinates': (-79.4086318314847, 43.6578167708639)}"
3310776,16,97641,118,PLEASANT BLVD,LN 2 E YONGE S PLEASANT,AVOCA AVE,,0.0,20.0,,12.0,"Maple, Norway",25.0,"{'type': 'Point', 'coordinates': (-79.3893018520844, 43.6883787435373)}"
3310777,17,395672,235,GRANDRAVINE DR,OLLERTON RD,FUTURA DR,,0.0,5.0,,7.0,Hackberry,8.0,"{'type': 'Point', 'coordinates': (-79.5058922971026, 43.7485008346161)}"
3310778,18,536683,2975,YONGE ST,CHATSWORTH DR,CHERITAN AVE,,0.0,210.0,LAWRENCE PARK AND RAVINE,15.0,"Ash, green",24.0,"{'type': 'Point', 'coordinates': (-79.400487544538, 43.722746664264)}"
3310779,19,442295,28,KISKADEE DR,KITTIWAKE AVE,KITTIWAKE AVE,,0.0,10.0,,1.0,"Mulberry, white",16.0,"{'type': 'Point', 'coordinates': (-79.5968805552278, 43.7342135671476)}"
3310780,20,SC83877,9,CHAPELTOWN CRES,HUNTSMILL BLVD,HUNTSMILL BLVD,,0.0,10.0,,22.0,"Apple, Sargents",26.0,"{'type': 'Point', 'coordinates': (-79.3319713375323, 43.8106268773258)}"
3310781,21,NY107740,599,COLDSTREAM AVE,ENGLEMOUNT AVE,SHERMOUNT AVE,,0.0,20.0,,8.0,"Mountain ash, European",20.0,"{'type': 'Point', 'coordinates': (-79.4373323647695, 43.712975180742006)}"
3310782,22,609748,82,SPRUCE ST,NASMITH AVE,SUMACH ST,,0.0,10.0,,13.0,"Oak, white",4.0,"{'type': 'Point', 'coordinates': (-79.3626753680659, 43.664408490826204)}"
3310783,23,199311,124,MARILAKE DR,MANORGLEN CRES,SUMMERGLADE DR,,0.0,10.0,,23.0,Tulip tree,6.0,"{'type': 'Point', 'coordinates': (-79.2710871514678, 43.7812305314965)}"
3310784,24,50482,12,WHITFIELD AVE,ISLINGTON AVE,KNOX AVE NORTH YORK,,0.0,10.0,,7.0,"Honey locust, 'Shade master'",52.0,"{'type': 'Point', 'coordinates': (-79.5722863928079, 43.7592381597255)}"
3310785,25,435312,7,WISHFORD DR,JOHN TABOR TRL,JOHN TABOR TRL,,0.0,10.0,,25.0,Hackberry,4.0,"{'type': 'Point', 'coordinates': (-79.2038222861175, 43.8073491130473)}"
3310786,26,378538,105,MAITLAND ST,ALEXANDER PL,MUTUAL ST,,0.0,70.0,,13.0,"Pear, 'Chanticleer'",7.0,"{'type': 'Point', 'coordinates': (-79.3790627447708, 43.6647057558909)}"
3310787,27,290865,81,BEVDALE RD,SENLAC RD,LURGAN DR,,0.0,20.0,,18.0,"Oak, red",5.0,"{'type': 'Point', 'coordinates': (-79.4338931772356, 43.77453255105231)}"
3310788,28,380094,56,CLUNY DR,CRESCENT RD,ROXBOROUGH ST E,,0.0,30.0,,11.0,"Cedar, white",7.0,"{'type': 'Point', 'coordinates': (-79.3864692834068, 43.6781738193197)}"
3310789,29,NY40678,129,DALEMOUNT AVE,SHELBORNE AVE,MADOC DR,,0.0,10.0,,8.0,Tulip tree,25.0,"{'type': 'Point', 'coordinates': (-79.4343953600155, 43.7148630054084)}"
3310790,30,NY139916,17,RINGWOOD CRES,GEORGE HENRY BLVD,GEORGE HENRY BLVD,,0.0,50.0,,17.0,"Spruce, Colorado blue",20.0,"{'type': 'Point', 'coordinates': (-79.3500218471301, 43.7719556872452)}"
3310791,31,560561,88,QUEENS WHARF RD,,,,0.0,120.0,,10.0,"Planetree, London",7.0,"{'type': 'Point', 'coordinates': (-79.3995620922805, 43.6387637339772)}"
3310792,32,244729,828,DUNDAS ST W,LN W PALMERSTON S DUNDAS,EUCLID AVE TORONTO,,0.0,10.0,,11.0,Honey locust,9.0,"{'type': 'Point', 'coordinates': (-79.4093552753714, 43.6516904492866)}"
3310793,33,ET99323,66,TENTH ST,MORRISON ST ETOBICOKE,LN S LAKE SHORE E ELEVENTH,,0.0,10.0,,3.0,"Maple, Norway 'Crimson King'",34.0,"{'type': 'Point', 'coordinates': (-79.5078643384629, 43.5978483612791)}"
3310794,34,262473,61,YORKVIEW DR ETOBICOKE,UNO DR,CHARTWELL RD,,0.0,10.0,,3.0,Ginkgo,4.0,"{'type': 'Point', 'coordinates': (-79.5099558955117, 43.6299814906493)}"
3310795,35,65386,74,RYKERT CRES,RICHLEA CRCL,THURSFIELD CRES,,0.0,10.0,,15.0,"Maple, red",29.0,"{'type': 'Point', 'coordinates': (-79.3587743995269, 43.7173469217039)}"
3310796,36,569480,17,HART AVE,BRENDA CRES,SUMMER DR,,0.0,10.0,,20.0,"Falsecypress, Japanese",20.0,"{'type': 'Point', 'coordinates': (-79.2593218633868, 43.7200005021239)}"
3310797,37,377629,75,CHESTER LE BLVD,75 CHESTER LE BLVD,106 CHESTER LE BLVD,,0.0,60.0,,22.0,Zelkova,12.0,"{'type': 'Point', 'coordinates': (-79.329843679834, 43.7962957324859)}"
3310798,38,395320,17,NORTH HILLS TER,MOCCASIN TRL,MOCCASIN TRL,,0.0,50.0,,16.0,Elm,40.0,"{'type': 'Point', 'coordinates': (-79.3384791801388, 43.7301841810056)}"
3310799,39,NY84250,98,POYNTZ AVE,BOTHAM RD,BEAMAN RD,,0.0,10.0,,18.0,"Maple, Norway",43.0,"{'type': 'Point', 'coordinates': (-79.4152638879444, 43.7589777636932)}"
3310800,40,16864,21,KOOS RD,AVERY AVE,RADWAY AVE,,0.0,20.0,,2.0,Honey locust,8.0,"{'type': 'Point', 'coordinates': (-79.5649721525678, 43.6331388006356)}"
3310801,41,586256,5,KODIAK CRES,SHEPPARD AVE W,WHITEHORSE RD,,0.0,100.0,,6.0,"Buckeye, yellow",8.0,"{'type': 'Point', 'coordinates': (-79.4655375260912, 43.7526866700941)}"
3310802,42,NY74903,6,CHARLTON BLVD,TALBOT RD,GRANTBROOK ST,,0.0,10.0,,18.0,"Maple, Norway",36.0,"{'type': 'Point', 'coordinates': (-79.4239133862924, 43.78328779108201)}"
3310803,43,495931,586,NORTHCLIFFE BLVD,AMHERST AVE,ALLENVALE AVE,,0.0,20.0,,12.0,"Maple, Manitoba",9.0,"{'type': 'Point', 'coordinates': (-79.4464216981582, 43.6919536704695)}"
3310804,44,143423,55,PRIMULA CRES,SOMBRERO CRT,HUSBAND DR,,0.0,10.0,,7.0,"Oak, swamp white",6.0,"{'type': 'Point', 'coordinates': (-79.5757375273133, 43.7619106726272)}"
3310805,45,ET113448,119,WESTHUMBER BLVD,MOON VALLEY DR,MARTIN GROVE RD,,0.0,10.0,,1.0,Black locust,12.0,"{'type': 'Point', 'coordinates': (-79.5855444740674, 43.72602704309521)}"
3310806,46,543944,13,BRIDLETOWNE CRCL,FINCH AVE E,PINEMEADOW BLVD,,0.0,70.0,,22.0,Tulip tree,8.0,"{'type': 'Point', 'coordinates': (-79.3190326311135, 43.7942469315193)}"
3310807,47,138719,52,TORRANCE RD,GRACE ST SCARBOROUGH,ADLER ST,,0.0,20.0,,21.0,"Honey locust, 'Skyline'",10.0,"{'type': 'Point', 'coordinates': (-79.23709051471421, 43.7428001588964)}"
3310808,48,410726,1,PARKCREST DR,HILL CRES,ANNIS RD,,0.0,50.0,,20.0,"Maple, Norway",2.0,"{'type': 'Point', 'coordinates': (-79.2153660990838, 43.7331296117775)}"
3310809,49,603573,12,REDCASTLE CRES,BRIDLEWOOD BLVD,BRIDLEWOOD BLVD,,0.0,10.0,,22.0,"Mountain ash, oak leaf",6.0,"{'type': 'Point', 'coordinates': (-79.313743960998, 43.7827502160707)}"
3310810,50,502898,2248,DUFFERIN ST,ROWAN AVE,KEYWEST AVE,,0.0,10.0,,9.0,"Cedar, white",20.0,"{'type': 'Point', 'coordinates': (-79.4492140695791, 43.6921376084812)}"
3310811,51,552126,209,FUNDY BAY BLVD,PALE MOON CRES,LUCANIA PL,,0.0,30.0,,22.0,Tulip tree,8.0,"{'type': 'Point', 'coordinates': (-79.3210677889654, 43.8118066365881)}"
3310812,52,512762,29,ATLAS AVE,GRIMTHORPE RD,WATFORD AVE,,0.0,20.0,,12.0,"Oak, English 'pyramidal'",3.0,"{'type': 'Point', 'coordinates': (-79.4311325007295, 43.68201075237711)}"
3310813,53,NY43779,22,DANVILLE DR,DIDRICKSON DR,SENECA ST,,0.0,10.0,,15.0,Juniper,10.0,"{'type': 'Point', 'coordinates': (-79.3957930283471, 43.7502175574651)}"
3310814,54,476934,2842,KEELE ST,TILBURY DR,WANDLE AVE,,0.0,30.0,,6.0,Ginkgo,8.0,"{'type': 'Point', 'coordinates': (-79.4832404004807, 43.7310019351549)}"
3310815,55,TO136435,37,SOHO SQ,PHOEBE ST,,,0.0,30.0,,10.0,"Pear, 'Chanticleer'",10.0,"{'type': 'Point', 'coordinates': (-79.3933534525317, 43.6507919422907)}"
3310816,56,NY140906,33,SNOWCREST AVE,LUTON GT,UNICORN AVE,,0.0,10.0,,17.0,"Spruce, Colorado blue",25.0,"{'type': 'Point', 'coordinates': (-79.3846081284106, 43.7918648024756)}"
3310817,57,588062,12,MAGNUM WAY,GROVER DR,,,0.0,10.0,,25.0,Dogwood,6.0,"{'type': 'Point', 'coordinates': (-79.1786065495489, 43.797754439402)}"
3310818,58,622868,31,MACEY AVE,LN N DANFORTH E VICTORIA PARK,DENTON AVE,,0.0,20.0,,20.0,"Maple, Amur",4.0,"{'type': 'Point', 'coordinates': (-79.2869333076631, 43.6931967602928)}"
3310819,59,TO8538,44,BIN-SCARTH RD,GLEN RD,ROXBOROUGH DR,,0.0,40.0,,11.0,"Apple, Sargents",24.0,"{'type': 'Point', 'coordinates': (-79.3731338400423, 43.68230711598051)}"
3310820,60,305563,2677,KENNEDY RD,SOUTHLAWN DR,NORCAP AVE,,0.0,80.0,,22.0,Honey locust,32.0,"{'type': 'Point', 'coordinates': (-79.2932193853298, 43.7963887264434)}"
3310821,61,SC23229,1,MEDWAY CRES,BIRKDALE RD,BIRKDALE RD,,0.0,10.0,,21.0,"Maple, silver",45.0,"{'type': 'Point', 'coordinates': (-79.2603387690994, 43.7565836186769)}"
3310822,62,261617,36,CEDARLAND DR,BYWOOD DR,PERRY CRES,,0.0,70.0,,2.0,"Pine, Eastern white",18.0,"{'type': 'Point', 'coordinates': (-79.53365242523, 43.6582513669203)}"
3310823,63,565679,82,KIMBERLEY AVE,LN N SWANWICK E KIMBERLEY,GERRARD ST E,,0.0,10.0,,19.0,"Maple, Norway",32.0,"{'type': 'Point', 'coordinates': (-79.2988437639336, 43.68390446318741)}"
3310824,64,NY143984,364,ELLERSLIE AVE,COBDEN ST,WYNN RD,,0.0,20.0,,18.0,"Spruce, Norway",25.0,"{'type': 'Point', 'coordinates': (-79.4326654232475, 43.7675433437387)}"
3310825,65,EY24067,128,CHISHOLM AVE,DONCASTER AVE,EPSOM AVE,,0.0,20.0,,19.0,"Spruce, Colorado blue",20.0,"{'type': 'Point', 'coordinates': (-79.304846161499, 43.6915075547447)}"
3310826,66,SC30505,15,BETHUNE BLVD,SYLVAN AVE SCARBOROUGH,CATALINA DR,,0.0,20.0,,24.0,"Linden, Littleleaf",37.0,"{'type': 'Point', 'coordinates': (-79.2077817163365, 43.7376347393301)}"
3310827,67,SC11655,20,HADDON AVE,SOUTH EDGELY AVE,SOUTH WOODROW BLVD,,0.0,10.0,,20.0,"Maple, silver",107.0,"{'type': 'Point', 'coordinates': (-79.2620188694816, 43.7023799418267)}"
3310828,68,SC1081,257,CHINE DR,HAGLEY RD,BASILDON CRES,,0.0,10.0,,20.0,"Maple, Norway",57.0,"{'type': 'Point', 'coordinates': (-79.2480485474817, 43.7168807691702)}"
3310829,69,492382,200,PARKSIDE DR,HIGH PARK BLVD,WESTMINSTER AVE,,0.0,5.0,,4.0,"Oak, black",100.0,"{'type': 'Point', 'coordinates': (-79.4565831357601, 43.6449324276165)}"
3310830,70,527901,47,BRAECREST AVE,ROXALINE ST,ROYAL YORK RD,,0.0,10.0,,2.0,Kentucky coffee,4.0,"{'type': 'Point', 'coordinates': (-79.5312661858541, 43.6953198112604)}"
3310831,71,152912,1,HYCREST AVE,SHEPPARD AVE E,,,0.0,40.0,,18.0,"Maple, Norway 'Schwedler'",14.0,"{'type': 'Point', 'coordinates': (-79.3921013943526, 43.7660683875586)}"
3310832,72,98533,434,BALLIOL ST,LN S DAVISVILLE E MT PLEASANT,FORSYTH RD,,0.0,10.0,,15.0,"Basswood, American",28.0,"{'type': 'Point', 'coordinates': (-79.383619275134, 43.7000269628548)}"
3310833,73,SC10697,26,DORCOT AVE,HIGHBROOK DR,MUNSON CRES,,0.0,10.0,,21.0,"Linden, Littleleaf",45.0,"{'type': 'Point', 'coordinates': (-79.2647614023704, 43.7585042269824)}"
3310834,74,NY127008,7,HIGH POINT RD,POST RD,LAWRENCE AVE E,,0.0,80.0,,15.0,"Pine, Eastern white",3.0,"{'type': 'Point', 'coordinates': (-79.3721200720674, 43.7357274831986)}"
3310835,75,428791,247,TAYSHAM CRES,BENSTROW AVE,CELANDINE RD,,0.0,10.0,,1.0,Ginkgo,4.0,"{'type': 'Point', 'coordinates': (-79.57447507723181, 43.7391670113917)}"
3310836,76,270895,103,NATALIE PL,LN E LOGAN N COLGATE,LOGAN AVE,,0.0,10.0,,14.0,Serviceberry,10.0,"{'type': 'Point', 'coordinates': (-79.3434769340964, 43.66349901093421)}"
3310837,77,263463,2,LORD SYDENHAM CRT,BRIDLETOWNE CRCL,RAINTHORPE CRES,,0.0,30.0,,22.0,"Catalpa, Northern",10.0,"{'type': 'Point', 'coordinates': (-79.31145845711072, 43.7957538895177)}"
3310838,78,NY136630,14,LADY YORK AVE,WESTDALE DR,ANTHONY RD,,0.0,50.0,,6.0,"Spruce, Colorado blue",20.0,"{'type': 'Point', 'coordinates': (-79.4636196997321, 43.7289355872617)}"
3310839,79,219106,14,RELMAR RD,,,,0.0,10.0,,12.0,"Katsura, Japanese",4.0,"{'type': 'Point', 'coordinates': (-79.414246439573, 43.6890298104317)}"
3310840,80,332232,110,MOSSBROOK CRES,HUNTSMILL BLVD,HUNTSMILL BLVD,,0.0,10.0,,22.0,"Beech, European",8.0,"{'type': 'Point', 'coordinates': (-79.32539344651582, 43.8097307321679)}"
3310841,81,NY100441,84,DENLOW BLVD,BRAMBLE DR,CARAVAN DR,,0.0,10.0,,15.0,"Maple, Norway 'Schwedler'",34.0,"{'type': 'Point', 'coordinates': (-79.3669945521526, 43.7452701076119)}"
3310842,82,173727,63,CALLOWHILL DR,LADBROOKE RD,THE WESTWAY,,0.0,210.0,,2.0,"Pear, 'Bradford'",6.0,"{'type': 'Point', 'coordinates': (-79.5628720995063, 43.6825253645841)}"
3310843,83,550716,22,CEDARVALE AVE,OAKCREST AVE,ETHELWIN AVE,,0.0,10.0,,19.0,"Oak, red",4.0,"{'type': 'Point', 'coordinates': (-79.3102399648695, 43.6843923955687)}"
3310844,84,YO13566,201,GLEN CEDAR RD,DEWBOURNE AVE,LN S EGLINTON W CAMBERWELL,,0.0,40.0,,12.0,Elm,30.0,"{'type': 'Point', 'coordinates': (-79.4304260872651, 43.699307091522805)}"
3310845,85,325633,211,PACIFIC AVE,GLENLAKE AVE,OAKMOUNT RD,,0.0,10.0,,4.0,"Oak, red",4.0,"{'type': 'Point', 'coordinates': (-79.4656603389439, 43.6591961420628)}"
3310846,86,280478,170,BELLAMY RD N,GRACE ST SCARBOROUGH,NELSON ST SCARBOROUGH,,0.0,10.0,,21.0,"Basswood, Redmond",8.0,"{'type': 'Point', 'coordinates': (-79.2305101826917, 43.7444089126836)}"
3310847,87,354298,79,GOSFORD BLVD,FLETCHERDON CRES,FLETCHERDON CRES,,0.0,80.0,,7.0,Honey locust,13.0,"{'type': 'Point', 'coordinates': (-79.5201922121088, 43.7674563596111)}"
3310848,88,71530,25,GRENVILLE ST,ST LUKE LANE,ST VINCENT LANE,,0.0,10.0,,13.0,Honey locust,21.0,"{'type': 'Point', 'coordinates': (-79.3846268719287, 43.6618041012042)}"
3310849,89,218871,147,WANLESS AVE,MOUNT PLEASANT RD,ARDROSSAN PL,,0.0,10.0,,15.0,"Maple, Freeman 'Autumn Blaze'",6.0,"{'type': 'Point', 'coordinates': (-79.3961422834656, 43.7277662389618)}"
3310850,90,ET42137,102,HADRIAN DR,BURCHELL RD,ESMOND CRES,,0.0,10.0,,1.0,"Maple, Norway",55.0,"{'type': 'Point', 'coordinates': (-79.5448170660847, 43.7164991503838)}"
3310851,91,EY17970,94,FRATER AVE,WOODMOUNT AVE,WOODBINE AVE,,0.0,10.0,,19.0,Juniper,7.0,"{'type': 'Point', 'coordinates': (-79.3164169694181, 43.691733447249)}"
3310852,92,NY145076,26,FIFESHIRE RD,"BAYVIEW AVE TO, EY, NY",KNOLLWOOD ST,,0.0,50.0,,15.0,"Spruce, Serbian",15.0,"{'type': 'Point', 'coordinates': (-79.3901603027176, 43.7533420276034)}"
3310853,93,ET74197,22,OWEN DR,BROWN'S LINE,,A,0.0,10.0,,3.0,Cherry,26.0,"{'type': 'Point', 'coordinates': (-79.5449521649403, 43.5970402769127)}"
3310854,94,NY6441,5,LESCON RD,TRAILSIDE DR,NYMARK AVE,,0.0,10.0,,17.0,"Apple, Sargents",45.0,"{'type': 'Point', 'coordinates': (-79.3555596514614, 43.7802885339011)}"
3310855,95,293447,1561,LAKE SHORE BLVD E,ASHBRIDGES BAY PARK RD,NORTHERN DANCER BLVD,,0.0,1281.0,ASHBRIDGE'S BAY PARK,19.0,"Ash, green",37.0,"{'type': 'Point', 'coordinates': (-79.3134793798852, 43.6621437928584)}"
3310856,96,576701,41,WARRENDER AVE,ASHFORD DR,LLOYD MANOR RD,,0.0,580.0,,2.0,Hackberry,8.0,"{'type': 'Point', 'coordinates': (-79.5535523218463, 43.6760120601242)}"
3310857,97,158686,1561,THE QUEENSWAY,ALGIE AVE,ATOMIC AVE,,0.0,60.0,,3.0,Ginkgo,7.0,"{'type': 'Point', 'coordinates': (-79.5389025087437, 43.6180695814372)}"
3310858,98,TO86329,232,SEATON ST,HAGAN LANE,LN S GERRARD W SEATON,,0.0,10.0,,13.0,"Maple, silver",82.0,"{'type': 'Point', 'coordinates': (-79.3702164030015, 43.6601912164234)}"
3310859,99,67564,67,ROWSE CRES,SUN ROW DR,SUN ROW DR,,0.0,30.0,,2.0,"Maple, Freeman 'Autumn Blaze'",25.0,"{'type': 'Point', 'coordinates': (-79.5421687628705, 43.6917923569989)}"
3310860,100,SC39317,695,PHARMACY AVE,CLAIRLEA CRES,HOLLYDENE RD,,0.0,20.0,,20.0,"Catalpa, Northern",87.0,"{'type': 'Point', 'coordinates': (-79.2925346667985, 43.7144915843843)}"
3310861,101,616717,37,MOOREFIELD DR,TRELLANOCK AVE,BRIMFOREST GT,,0.0,10.0,,25.0,"Basswood, Redmond",,"{'type': 'Point', 'coordinates': (-79.1346360912975, 43.7809442216744)}"
3310862,102,25980,9,EPPING ST,PARAGON RD,STAPLETON DR,,0.0,10.0,,2.0,Linden,71.0,"{'type': 'Point', 'coordinates': (-79.5458592954787, 43.6890051512851)}"
3310863,103,SC50111,16,PURPLEDUSK TRL,TRAILRIDGE CRES,TRAILRIDGE CRES,,0.0,10.0,,24.0,"Maple, Norway",31.0,"{'type': 'Point', 'coordinates': (-79.2074002380289, 43.78405379191851)}"
3310864,104,TO23112,3,DACRE CRES,VALLEYMEDE RD,,,0.0,30.0,,4.0,"Spruce, Norway",30.0,"{'type': 'Point', 'coordinates': (-79.4717120535454, 43.6492678018185)}"
3310865,105,NY124364,10,WILKET RD,WYEGATE CRT,TUDOR GT,,0.0,25.0,,15.0,"Pine, Austrian",40.0,"{'type': 'Point', 'coordinates': (-79.3817751799181, 43.7468397172114)}"
3310866,106,28911,44,TEIGNMOUTH AVE,EARLSCOURT AVE,NAIRN AVE,,0.0,10.0,,9.0,"Lilac, Japanese",10.0,"{'type': 'Point', 'coordinates': (-79.4519350038125, 43.68528513171991)}"
3310867,107,628333,160,OLIVE AVE NORTH YORK,WILLOWDALE AVE,LONGMORE ST,,0.0,30.0,,18.0,Ginkgo,6.0,"{'type': 'Point', 'coordinates': (-79.4044141226619, 43.7813864423141)}"
3310868,108,559566,277,MANOR RD E,HARWOOD RD,FORMAN AVE,,0.0,10.0,,15.0,"Lilac, Japanese",4.0,"{'type': 'Point', 'coordinates': (-79.385368039862, 43.7047712694349)}"
3310869,109,625370,37,MCDONALD AVE,DANFORTH RD,,,0.0,10.0,,20.0,Kentucky coffee,6.0,"{'type': 'Point', 'coordinates': (-79.2760491080146, 43.6976158659693)}"
3310870,110,407725,601,PALMERSTON AVE,LONDON ST,PALMERSTON SQ,,0.0,90.0,,11.0,"Mulberry, white",3.0,"{'type': 'Point', 'coordinates': (-79.4140025217185, 43.6665701969059)}"
3310871,111,ET20736,31,CHERRY POST CRES,MAPLE GATE CRT,MARKLAND DR,,0.0,10.0,,2.0,"Maple, Norway globe",40.0,"{'type': 'Point', 'coordinates': (-79.5812156837842, 43.631340324678)}"
3310872,112,TO94750,117,WANLESS AVE,PRESTON PL,MOUNT PLEASANT RD,,0.0,10.0,,15.0,"Walnut, black",75.0,"{'type': 'Point', 'coordinates': (-79.3975528221359, 43.7274487960523)}"
3310873,113,YO28154,352,WINNETT AVE,DURHAM AVE,ARLINGTON AVE,,0.0,40.0,,12.0,"Maple, Norway",60.0,"{'type': 'Point', 'coordinates': (-79.4349956679899, 43.6925567264301)}"
3310874,114,203961,206,LAWSON RD,IRVINE RD,CEDARVIEW DR,X,0.0,60.0,,25.0,"Maple, Manitoba",30.0,"{'type': 'Point', 'coordinates': (-79.1546922075637, 43.786840388051004)}"
3310875,115,297894,8,LE MAY RD,DAVISVILLE AVE,MILLWOOD RD,,0.0,10.0,,15.0,"Maple, Freeman 'Autumn Blaze'",20.0,"{'type': 'Point', 'coordinates': (-79.3765840238831, 43.7026413502175)}"
3310876,116,NY90625,87,CASSANDRA BLVD,WHITEFRIARS DR,ALDENHAM CRES,,0.0,80.0,,16.0,"Maple, silver",45.0,"{'type': 'Point', 'coordinates': (-79.331364610784, 43.7493149875177)}"
3310877,117,TO120894,24,DINNICK CRES,ST EDMUND'S DR,WEYBOURNE CRES,,0.0,20.0,,15.0,Linden,49.0,"{'type': 'Point', 'coordinates': (-79.3991290518129, 43.7230403273013)}"
3310878,118,SC101102,14,ROVINELLI RD,PENNYHILL DR,MIDDLEPORT CRES,,0.0,10.0,,25.0,"Maple, Norway",33.0,"{'type': 'Point', 'coordinates': (-79.2165211897526, 43.8147046315825)}"
3310879,119,273316,7,PIPESTONE PL,SHENDALE DR,,,0.0,30.0,,1.0,"Pine, Austrian",36.0,"{'type': 'Point', 'coordinates': (-79.548132344283, 43.7210262248308)}"
3310880,120,SC93006,320,PORT ROYAL TRL,GRENBECK DR,TRURO CRES,,0.0,10.0,,23.0,"Honey locust, 'Skyline'",38.0,"{'type': 'Point', 'coordinates': (-79.2937226261688, 43.8226780353501)}"
3310881,121,34104,2150,GERRARD ST E,KILDONAN RD,WOODLEE RD,,0.0,90.0,,19.0,Pine,4.0,"{'type': 'Point', 'coordinates': (-79.3044252718078, 43.6832688003495)}"
3310882,122,336731,122,DOWLING AVE,KING ST W,LEOPOLD ST,,0.0,20.0,,4.0,Linden,40.0,"{'type': 'Point', 'coordinates': (-79.4389450962758, 43.6367564563461)}"
3310883,123,516790,1,TADCASTER PL,TALWOOD DR,,,0.0,10.0,,16.0,"Maple, Norway",23.0,"{'type': 'Point', 'coordinates': (-79.3548338341634, 43.7391934326665)}"
3310884,124,283457,2851,WARDEN AVE,BRIDLETOWNE CRCL,GLEN SPRINGS DR,,0.0,10618.0,WARDEN PARK,22.0,"Ash, European",38.0,"{'type': 'Point', 'coordinates': (-79.3164937034829, 43.8049654624276)}"
3310885,125,ET36308,26,FOREST PATH CRT,DELABRA RD,KINTAIL RD,,0.0,5.0,,1.0,"Spruce, Colorado blue",55.0,"{'type': 'Point', 'coordinates': (-79.5546680633759, 43.742212457629904)}"
3310886,126,275858,240,BESSBOROUGH DR,SHARRON DR,PARKHURST BLVD,,0.0,10.0,,15.0,"Maple, Freeman 'Autumn Blaze'",12.0,"{'type': 'Point', 'coordinates': (-79.3711459744453, 43.7085783948772)}"
3310887,127,372206,46,CHINE DR,,CHINE DRIVE PUB.,,0.0,10.0,,20.0,"Maple, sugar",46.0,"{'type': 'Point', 'coordinates': (-79.2423276649849, 43.7085265855595)}"
