_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3319793,9033,NY114093,1079,GLENCAIRN AVE,ENNERDALE ST,HAVEN RD,,0.0,10.0,,8.0,"Mulberry, white",10.0,"{'type': 'Point', 'coordinates': (-79.4562499353264, 43.7062983944421)}"
3319794,9034,220824,36,MAYO DR,FALSTAFF AVE,,,0.0,10.0,,5.0,"Oak, red",4.0,"{'type': 'Point', 'coordinates': (-79.4936313305703, 43.718770647529)}"
3319795,9035,594060,200,PARKSIDE DR,HIGH PARK BLVD,WESTMINSTER AVE,,0.0,458.0,,4.0,"Maple, red",27.0,"{'type': 'Point', 'coordinates': (-79.4565831357601, 43.6449324276165)}"
3319796,9036,ET65885,333,MELROSE ST,LN W ROYAL YORK N HAY,CARNARVON AVE,,0.0,10.0,,3.0,"Maple, Freeman 'Autumn Blaze'",79.0,"{'type': 'Point', 'coordinates': (-79.5030381990202, 43.61944306047)}"
3319797,9037,41271,91,BOW VALLEY DR,COPPING RD,COPPING RD,,0.0,30.0,,24.0,Serviceberry,7.0,"{'type': 'Point', 'coordinates': (-79.2019139765075, 43.771898363051)}"
3319798,9038,522311,220,DAVISVILLE AVE,ACACIA RD,MOUNT PLEASANT RD,,0.0,70.0,JUNE ROWLANDS PARK,12.0,Horsechestnut,50.0,"{'type': 'Point', 'coordinates': (-79.3885542567167, 43.7000730527074)}"
3319799,9039,52353,68,DELROY DR,MOYNES AVE,HOLBROOKE AVE,,0.0,10.0,,3.0,"Maple, sugar",61.0,"{'type': 'Point', 'coordinates': (-79.5005440397693, 43.63030458682201)}"
3319800,9040,530071,233,MCKEE AVE,WILFRED AVE,HIGHGATE AVE,,0.0,10.0,,18.0,"Elm, Siberian",27.0,"{'type': 'Point', 'coordinates': (-79.3989504036984, 43.7761416913427)}"
3319801,9041,296866,840,ST CLAIR AVE W,HENDRICK AVE,WINONA DR,,0.0,30.0,,12.0,"Elm, David 'Accolade'",11.0,"{'type': 'Point', 'coordinates': (-79.4318355567405, 43.680629598391704)}"
3319802,9042,366186,144,GOULDING AVE,CROSSEN DR,SHETLAND ST,,0.0,50.0,,18.0,"Maple, Norway",32.0,"{'type': 'Point', 'coordinates': (-79.431034041376, 43.7897175254847)}"
3319803,9043,TO57769,180,LISGAR ST,LN N QUEEN E LISGAR,LN S ARGYLE E BEACONSFIELD,,0.0,10.0,,9.0,"Maple, silver",95.0,"{'type': 'Point', 'coordinates': (-79.4245746598581, 43.6454626229426)}"
3319804,9044,567830,120,RIVER ST,,,,0.0,20.0,,13.0,"Planetree, London",20.0,"{'type': 'Point', 'coordinates': (-79.3581307494742, 43.6607080076611)}"
3319805,9045,625146,285,DERRYDOWN RD,CONAMORE CRES,KENNERLY CRT,,0.0,20.0,,7.0,"Oak, swamp white",8.0,"{'type': 'Point', 'coordinates': (-79.5057678885826, 43.755045272172)}"
3319806,9046,NY16120,50,"OAK ST NY,YK",KNOB HILL DR,GARY DR,,0.0,40.0,,5.0,"Beech, European 'Copper'",80.0,"{'type': 'Point', 'coordinates': (-79.5282584036032, 43.7090397503291)}"
3319807,9047,543204,265,MARKLAND DR,BLOOR ST W,SUNPLAINS CRES,,0.0,99998.0,,2.0,Oak,8.0,"{'type': 'Point', 'coordinates': (-79.5796366857047, 43.6284661204971)}"
3319808,9048,469344,1377,THE QUEENSWAY,PLYWOOD PL,PLYWOOD PL,,0.0,10.0,,3.0,"Maple, Freeman 'Autumn Blaze'",8.0,"{'type': 'Point', 'coordinates': (-79.5292382273266, 43.6193164656667)}"
